y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
6.75,4.1,0,0,0.0,0.0,0.0,0.0,0.8087718452707421,0.7529882508431365
7.0,4.066666666666666,0,0,0.0,0.0,0.0,0.0,0.8086530207036791,0.7539584981258873
7.25,4.033333333333333,0,0,0.0,0.0,0.0,0.0,0.8289565726469933,0.7770167916914725
7.5,4.0,0,0,0.0,0.0,0.0,0.0,0.8219245312179292,0.7705294275384506
7.75,3.966666666666667,0,0,0.0,0.0,0.0,0.0,0.8143059107171371,0.7635104442656014
8.0,3.9333333333333336,0,0,0.0,0.0,0.0,0.0,0.8283420890693172,0.7797635605211943
8.25,3.9,0,0,0.0,0.0,0.0,0.0,0.8333439383246343,0.786326635124669
8.5,3.8666666666666667,0,0,0.0,0.0,0.0,0.0,0.8312194549307204,0.7852701922857914
8.75,3.833333333333333,0,0,0.0,0.0,0.0,0.0,0.8390173322699853,0.7948449648128968
9.0,3.8,0,0,0.0,0.0,0.0,0.0,0.818669511004589,0.7744768791652115
9.25,3.7666666666666666,0,0,0.0,0.0,0.0,0.0,0.8320023359348852,0.7899315429650877
9.5,3.7333333333333334,0,0,0.0,0.0,0.0,0.0,0.8306611522489076,0.7898380263049023
9.75,3.7,0,0,0.0,0.0,0.0,0.0,0.8199271326955537,0.7798796189032009
10.0,3.666666666666667,0,0,0.0,0.0,0.0,0.0,0.835024557083189,0.7971602404171828
10.25,3.6333333333333333,0,0,0.0,0.0,0.0,0.0,0.839564328188918,0.8033193718451054
10.5,3.6,0,0,0.0,0.0,0.0,0.0,0.8325392286369321,0.7973426939428209
10.75,3.5666666666666664,0,0,0.0,0.0,0.0,0.0,0.8223050013250909,0.788081299539982
11.0,3.533333333333333,0,0,0.0,0.0,0.0,0.0,0.8361254545327678,0.8039611846299973
11.25,3.5,0,0,0.0,0.0,0.0,0.0,0.8257671722562421,0.7946359389917498
11.5,3.466666666666667,0,0,0.0,0.0,0.0,0.0,0.82350817479045,0.7937865895895718
11.75,3.4333333333333336,0,0,0.0,0.0,0.0,0.0,0.821358426461541,0.7993793346663618
12.0,3.4,0,0,0.0,0.0,0.0,0.0,0.78555289371981,0.7791708358825647
12.25,3.3666666666666667,0,0,0.0,0.0,0.0,0.0,0.7986323316416523,0.7976204201165837
12.5,3.333333333333333,0,0,0.0,0.0,0.0,0.0,0.784980903466874,0.7750182982898411
12.75,3.3,0,0,0.0,0.0,0.0,0.0,0.7780660775052562,0.7650821681263285
